service_date,trip_distance,fare_amount_sek,total_amount_sek,payment_type,passenger_count
2023-06-01,24.94,3442.86,3598.38,Credit Card,4
2023-06-20,23.04,3214.85,3733.76,Mobile Payment,2
2023-06-09,4.74,1018.92,1253.41,Cash,3
2023-07-01,24.18,3351.27,4166.53,Cash,3
2023-06-27,24.23,3357.91,3825.93,Mobile Payment,4
2023-06-14,4.87,1034.87,1184.22,Mobile Payment,4
2023-06-22,15.6,2321.65,2534.95,Mobile Payment,1
2023-06-07,17.72,2576.92,2959.17,Cash,1
2023-06-17,8.15,1427.62,1694.66,Cash,3
2023-06-07,2.39,736.28,777.8,Cash,2
2023-06-16,13.3,2045.62,2176.1,Cash,4
2023-06-12,8.39,1457.08,1767.79,Credit Card,3
2023-06-02,23.15,3228.21,3624.31,Mobile Payment,4
2023-06-24,17.98,2607.95,3247.79,Credit Card,1
2023-06-12,18.98,2727.53,2996.73,Credit Card,2
2023-06-25,5.56,1117.51,1209.58,Mobile Payment,1
2023-06-02,12.39,1937.15,2088.1,Cash,4
2023-06-11,13.05,2015.59,2462.04,Cash,2
2023-06-18,19.89,2837.07,3533.75,Mobile Payment,4
2023-06-22,12.24,1918.43,2157.39,Cash,3
2023-06-06,22.76,3180.66,3528.46,Credit Card,2
2023-06-10,8.2,1434.03,1556.03,Mobile Payment,2
2023-06-26,23.31,3246.82,4000.15,Cash,3
2023-06-06,13.81,2106.82,2389.86,Mobile Payment,3
2023-06-11,23.58,3279.45,3642.68,Cash,2
2023-06-18,23.43,3261.58,3438.0,Mobile Payment,2
2023-06-01,15.6,2321.86,2556.03,Mobile Payment,4
2023-06-01,2.51,751.44,786.42,Credit Card,1
2023-06-29,10.72,1736.26,1742.94,Credit Card,1
2023-06-12,2.92,800.82,908.11,Mobile Payment,1
2023-06-18,14.05,2135.59,2235.8,Cash,3
2023-06-10,23.46,3264.9,3806.08,Cash,4
2023-06-19,6.95,1283.95,1465.02,Credit Card,2
2023-06-27,24.88,3435.82,3523.59,Cash,4
2023-06-29,2.52,752.32,930.59,Credit Card,2
2023-06-06,5.93,1161.51,1324.72,Mobile Payment,4
2023-06-16,23.74,3299.0,3557.23,Mobile Payment,3
2023-06-19,8.12,1424.64,1459.87,Credit Card,1
2023-06-03,3.85,912.59,1140.3,Cash,4
2023-06-21,11.51,1831.71,2049.15,Credit Card,3
2023-06-07,9.36,1573.29,1944.28,Mobile Payment,2
2023-06-28,10.9,1758.56,2059.66,Credit Card,2
2023-06-18,7.13,1305.6,1563.39,Mobile Payment,4
2023-06-10,7.06,1297.69,1372.09,Cash,4
2023-06-20,4.76,1020.75,1048.21,Mobile Payment,1
2023-06-11,6.09,1181.34,1264.27,Cash,4
2023-06-08,24.19,3352.35,3705.41,Mobile Payment,3
2023-06-01,16.26,2401.34,2688.51,Credit Card,4
2023-06-06,0.69,532.78,630.81,Cash,4
2023-06-05,20.58,2919.04,3278.25,Mobile Payment,1
2023-06-09,17.82,2588.35,2890.06,Credit Card,1
2023-06-26,18.23,2637.83,3238.96,Cash,3
2023-06-20,6.86,1272.86,1433.77,Cash,4
2023-06-28,12.14,1906.33,2277.09,Cash,4
2023-06-03,24.07,3338.04,3606.92,Cash,4
2023-06-27,21.57,3038.46,3469.82,Cash,1
2023-06-13,6.61,1242.91,1472.79,Mobile Payment,2
2023-06-16,17.31,2526.8,2729.27,Cash,2
2023-06-20,2.64,766.24,824.06,Cash,2
2023-06-20,22.47,3146.75,3343.65,Cash,1
2023-06-02,21.95,3084.21,3845.01,Cash,1
2023-06-07,10.67,1730.71,1961.86,Cash,4
2023-06-05,3.31,846.67,875.88,Credit Card,3
2023-06-23,0.94,562.8,603.75,Mobile Payment,1
2023-06-16,19.76,2821.26,3161.6,Credit Card,3
2023-07-01,4.98,1047.15,1194.62,Cash,2
2023-06-17,20.21,2875.43,3140.43,Credit Card,3
2023-06-10,17.66,2569.62,2945.69,Mobile Payment,4
2023-06-22,5.88,1156.0,1159.86,Mobile Payment,4
2023-06-01,12.79,1985.16,2459.9,Cash,1
2023-06-17,17.67,2569.86,3093.82,Credit Card,4
2023-06-08,14.86,2233.56,2351.07,Mobile Payment,3
2023-06-07,21.61,3043.1,3659.87,Mobile Payment,4
2023-06-18,24.02,3332.01,3869.55,Cash,1
2023-06-24,21.88,3075.08,3426.77,Credit Card,4
2023-06-02,18.29,2645.08,2914.26,Cash,2
2023-06-14,17.51,2550.81,2892.77,Mobile Payment,4
2023-06-19,1.33,609.75,671.41,Credit Card,2
2023-06-26,1.14,587.36,669.62,Cash,4
2023-06-11,12.24,1919.08,2233.43,Mobile Payment,3
2023-06-16,16.61,2443.61,3031.07,Mobile Payment,2
2023-06-03,8.28,1443.28,1690.75,Cash,4
2023-06-08,2.01,691.34,727.08,Credit Card,3
2023-06-08,5.09,1060.83,1232.58,Credit Card,4
2023-06-18,4.12,944.87,1119.27,Cash,3
2023-06-28,8.84,1510.62,1666.84,Mobile Payment,4
2023-06-20,6.53,1233.38,1320.11,Cash,1
2023-06-09,8.16,1428.77,1774.37,Mobile Payment,1
2023-06-08,19.08,2739.9,3098.14,Cash,2
2023-06-22,20.12,2863.98,3423.68,Credit Card,4
2023-06-22,8.92,1520.47,1655.28,Credit Card,2
2023-06-14,21.34,3010.9,3529.28,Cash,1
2023-06-29,24.65,3408.56,4060.5,Cash,2
2023-06-20,21.18,2991.86,3183.64,Mobile Payment,2
2023-06-17,6.01,1171.22,1189.8,Mobile Payment,4
2023-06-25,16.73,2457.47,2609.27,Mobile Payment,4
2023-06-14,15.26,2281.44,2715.96,Mobile Payment,4
2023-06-03,15.09,2261.37,2808.75,Cash,3
2023-06-26,15.08,2259.23,2767.84,Cash,3
2023-06-12,3.66,889.39,1082.96,Cash,1
2023-06-14,5.76,1141.57,1198.22,Cash,2
2023-06-01,14.65,2208.45,2336.57,Cash,1
2023-06-30,15.46,2305.01,2458.58,Credit Card,4
2023-06-15,4.62,1004.11,1172.34,Mobile Payment,4
2023-06-01,7.69,1372.62,1710.53,Mobile Payment,1
2023-06-09,7.4,1338.22,1598.03,Cash,2
2023-06-22,17.13,2505.54,2801.15,Cash,3
2023-06-28,9.8,1625.63,1748.39,Mobile Payment,3
2023-06-13,18.26,2640.7,2983.7,Credit Card,4
2023-06-08,24.78,3423.91,3975.99,Cash,1
2023-06-27,20.06,2856.82,2890.56,Mobile Payment,4
2023-06-10,16.69,2452.7,2623.13,Cash,2
2023-06-12,15.33,2290.1,2684.11,Mobile Payment,2
2023-06-30,20.97,2965.88,3388.58,Credit Card,3
2023-06-30,2.74,778.28,917.09,Cash,3
2023-06-06,22.06,3097.31,3322.94,Cash,2
2023-06-23,10.47,1706.84,2052.81,Cash,3
2023-06-30,10.23,1677.99,1700.74,Cash,2
2023-06-04,17.33,2530.13,2981.35,Cash,2
2023-06-20,7.23,1317.61,1495.03,Mobile Payment,4
2023-06-02,13.07,2018.88,2298.21,Cash,1
2023-06-13,23.28,3243.1,3467.02,Credit Card,4
2023-06-04,23.88,3315.43,3370.96,Cash,4
2023-06-18,5.92,1160.61,1276.63,Mobile Payment,4
2023-06-23,5.72,1136.44,1144.74,Cash,2
2023-06-04,7.91,1399.64,1748.75,Credit Card,1
2023-06-13,21.45,3024.3,3391.16,Mobile Payment,4
2023-06-20,17.71,2575.0,2593.95,Credit Card,4
2023-06-10,7.09,1300.36,1518.88,Cash,4
2023-06-05,10.3,1686.53,1876.05,Mobile Payment,4
2023-06-06,24.46,3385.43,3576.96,Credit Card,4
2023-06-22,7.49,1349.18,1529.08,Mobile Payment,2
2023-06-09,17.79,2584.26,2807.93,Credit Card,2
2023-06-12,15.76,2340.74,2909.73,Cash,1
2023-06-05,4.95,1044.08,1120.0,Mobile Payment,1
2023-06-18,1.0,569.58,583.53,Cash,1
2023-06-14,12.82,1988.66,2320.21,Credit Card,2
2023-06-21,20.0,2849.54,3002.84,Cash,2
2023-06-13,9.85,1631.68,1917.65,Mobile Payment,2
2023-06-15,17.58,2559.42,2560.85,Cash,4
2023-06-22,8.1,1421.42,1631.58,Credit Card,4
2023-06-19,15.64,2327.13,2835.7,Cash,3
2023-06-10,2.36,733.46,877.03,Credit Card,4
2023-06-26,10.54,1714.2,1982.5,Credit Card,2
2023-06-13,1.63,645.14,684.48,Mobile Payment,4
2023-06-26,7.25,1320.06,1460.36,Mobile Payment,1
2023-06-11,15.76,2341.44,2855.81,Credit Card,3
2023-06-25,2.57,758.4,821.25,Cash,1
2023-06-04,8.01,1411.38,1479.82,Cash,3
2023-06-09,22.49,3148.29,3470.84,Mobile Payment,1
2023-06-17,10.72,1736.38,2043.07,Mobile Payment,2
2023-06-12,8.43,1461.48,1693.19,Mobile Payment,2
2023-06-06,13.17,2030.37,2244.85,Mobile Payment,1
2023-06-01,3.53,873.24,1079.36,Credit Card,3
2023-06-13,9.52,1592.0,1944.17,Mobile Payment,3
2023-06-29,0.87,554.07,587.34,Mobile Payment,4
2023-06-27,19.82,2828.56,2937.47,Credit Card,4
2023-06-06,13.38,2055.84,2435.18,Credit Card,3
2023-06-02,21.88,3075.28,3471.02,Cash,1
2023-06-26,9.56,1597.18,1734.95,Mobile Payment,3
2023-06-24,19.18,2752.17,2834.58,Cash,4
2023-06-16,19.19,2752.37,3347.52,Mobile Payment,3
2023-06-13,3.57,878.84,905.33,Cash,1
2023-06-08,11.76,1860.75,1956.33,Cash,1
2023-06-30,7.83,1389.64,1725.51,Cash,3
2023-06-19,6.11,1183.19,1229.29,Mobile Payment,3
2023-06-26,7.47,1346.95,1470.46,Credit Card,2
2023-06-10,2.76,781.01,810.03,Cash,4
2023-06-22,4.01,931.41,1096.7,Mobile Payment,3
2023-06-25,16.51,2431.44,2505.26,Credit Card,2
2023-06-17,5.28,1083.5,1298.22,Cash,2
2023-06-23,11.79,1864.24,1890.73,Credit Card,3
2023-06-23,9.84,1631.1,1706.94,Mobile Payment,1
2023-06-29,24.68,3412.11,4222.91,Mobile Payment,1
2023-06-09,1.77,662.93,827.29,Mobile Payment,2
2023-06-02,3.03,813.32,867.32,Credit Card,1
2023-06-11,5.05,1055.88,1124.21,Credit Card,2
2023-06-13,1.43,621.84,699.71,Credit Card,3
2023-06-14,10.51,1710.99,2109.26,Mobile Payment,4
2023-06-17,4.92,1040.34,1062.3,Mobile Payment,2
2023-06-23,16.51,2431.32,2824.38,Credit Card,2
2023-06-01,9.52,1592.92,1773.67,Mobile Payment,3
2023-06-04,8.19,1432.68,1694.25,Mobile Payment,4
2023-06-22,6.22,1196.97,1439.02,Mobile Payment,4
2023-06-20,7.22,1316.4,1598.3,Mobile Payment,4
2023-06-27,14.69,2213.16,2368.39,Cash,1
2023-06-29,1.45,623.41,652.55,Cash,3
2023-06-08,4.25,960.03,1163.82,Mobile Payment,1
2023-06-21,6.68,1251.04,1331.14,Mobile Payment,3
2023-06-10,8.07,1418.4,1738.09,Mobile Payment,2
2023-06-22,12.58,1959.67,2439.23,Credit Card,4
2023-06-06,14.65,2207.95,2224.25,Mobile Payment,1
2023-06-30,4.95,1043.71,1218.21,Mobile Payment,1
2023-06-29,22.59,3161.09,3338.83,Credit Card,1
2023-06-30,19.12,2744.35,2894.8,Credit Card,1
2023-06-17,3.1,822.31,879.01,Mobile Payment,4
2023-06-21,19.37,2774.98,2966.2,Credit Card,2
2023-06-28,4.49,989.23,1092.66,Credit Card,1
2023-06-07,23.2,3233.47,3436.72,Cash,4
2023-06-29,19.58,2799.33,2837.59,Mobile Payment,2
2023-06-29,24.6,3402.57,3966.66,Cash,4
2023-06-16,13.35,2052.17,2393.75,Mobile Payment,1
2023-06-12,16.95,2484.55,2616.39,Cash,1
2023-06-14,3.33,849.6,959.49,Credit Card,3
2023-06-07,22.5,3149.88,3387.82,Mobile Payment,1
2023-06-26,10.43,1701.67,1913.4,Cash,1
2023-06-02,24.69,3412.39,4223.98,Cash,4
2023-06-21,12.84,1990.75,2436.22,Credit Card,4
2023-06-01,11.71,1854.9,2181.43,Mobile Payment,4
2023-06-07,5.0,1050.08,1148.36,Mobile Payment,1
2023-06-01,4.96,1045.05,1227.55,Credit Card,1
2023-06-07,0.67,530.22,570.09,Cash,1
2023-06-03,23.69,3293.2,3728.22,Mobile Payment,3
2023-06-07,22.31,3126.65,3824.84,Cash,1
2023-06-13,20.48,2907.76,3531.11,Mobile Payment,4
2023-06-11,0.81,547.59,669.49,Cash,3
2023-06-03,24.72,3416.66,4116.13,Mobile Payment,4
2023-06-27,13.64,2086.91,2264.33,Cash,3
2023-06-21,19.22,2756.29,3335.5,Cash,2
2023-06-15,18.31,2647.29,2754.95,Cash,2
2023-06-10,6.67,1249.89,1341.59,Mobile Payment,4
2023-06-18,8.83,1509.34,1760.62,Mobile Payment,1
2023-06-15,3.36,853.01,857.2,Mobile Payment,3
2023-06-11,4.82,1028.6,1171.98,Mobile Payment,3
2023-06-06,20.48,2907.43,3155.45,Mobile Payment,1
2023-06-23,14.15,2147.67,2150.52,Mobile Payment,3
2023-06-16,15.89,2357.12,2858.19,Credit Card,2
2023-06-09,1.58,639.07,711.76,Mobile Payment,1
2023-06-10,14.39,2176.24,2601.26,Credit Card,3
2023-06-13,3.66,889.22,949.45,Cash,2
2023-06-14,16.46,2425.32,2835.03,Cash,2
2023-06-15,1.39,616.79,701.64,Cash,4
2023-06-03,7.6,1362.05,1631.05,Cash,1
2023-06-18,8.02,1412.3,1460.25,Credit Card,3
2023-06-16,2.9,797.71,912.44,Cash,1
2023-06-28,2.78,783.16,956.77,Cash,1
2023-06-17,22.25,3120.41,3310.68,Cash,3
2023-06-15,1.32,608.07,724.67,Mobile Payment,1
2023-06-21,3.82,908.81,1033.42,Cash,3
2023-06-28,19.07,2737.85,3412.93,Mobile Payment,4
2023-06-15,12.67,1970.27,2086.81,Cash,2
2023-06-24,21.5,3029.49,3223.59,Cash,1
2023-06-17,4.9,1037.94,1077.44,Mobile Payment,1
2023-06-22,15.14,2266.66,2300.99,Mobile Payment,3
2023-06-19,0.65,528.48,555.88,Cash,2
2023-06-13,16.18,2391.25,2658.38,Cash,1
2023-07-01,24.38,3375.57,4053.65,Credit Card,2
2023-06-19,12.78,1983.83,2171.2,Mobile Payment,1
2023-06-14,8.36,1452.99,1484.69,Credit Card,3
2023-06-09,15.66,2329.19,2833.29,Cash,4
2023-06-12,20.03,2853.33,3231.81,Mobile Payment,1
2023-06-14,7.83,1389.06,1590.07,Mobile Payment,3
2023-06-16,17.41,2539.01,2736.61,Cash,1
2023-06-19,6.72,1256.62,1355.37,Cash,4
2023-06-03,23.81,3306.9,3519.44,Credit Card,1
2023-06-25,7.31,1326.64,1639.59,Credit Card,4
2023-06-11,11.5,1830.36,1916.53,Cash,4
2023-06-09,18.05,2615.82,2964.05,Mobile Payment,1
2023-06-12,22.15,3108.57,3367.54,Cash,3
2023-06-23,6.6,1242.01,1283.84,Cash,2
2023-06-28,6.83,1269.85,1300.31,Cash,3
2023-06-17,12.09,1900.69,1935.72,Credit Card,1
2023-06-03,2.36,733.25,774.84,Credit Card,1
2023-06-20,21.98,3087.85,3313.63,Cash,3
2023-06-17,7.33,1329.38,1399.08,Cash,2
2023-06-09,22.5,3150.22,3473.43,Credit Card,4
2023-06-23,9.02,1532.5,1603.75,Mobile Payment,3
2023-06-26,14.59,2201.02,2635.94,Mobile Payment,1
2023-06-23,2.72,775.94,830.29,Credit Card,1
2023-06-05,23.73,3298.16,3446.49,Cash,4
2023-06-16,9.44,1583.25,1949.26,Cash,3
2023-06-18,23.5,3269.79,3602.03,Credit Card,2
2023-06-25,13.93,2121.17,2370.12,Credit Card,2
2023-06-28,7.1,1301.89,1608.89,Mobile Payment,3
2023-06-04,18.03,2613.82,3157.86,Cash,1
2023-06-03,11.92,1880.02,2136.49,Cash,4
2023-06-29,23.3,3245.88,3260.82,Credit Card,2
2023-06-29,16.4,2417.52,2830.39,Credit Card,2
2023-06-04,10.41,1699.1,1712.1,Mobile Payment,1
2023-06-27,15.82,2348.02,2654.08,Mobile Payment,1
2023-06-22,19.7,2814.24,3261.7,Mobile Payment,3
2023-06-30,21.08,2979.22,3366.99,Mobile Payment,3
2023-06-17,5.24,1078.66,1315.75,Cash,2
2023-06-26,11.67,1850.53,2189.94,Cash,3
2023-06-10,20.72,2936.66,3160.76,Credit Card,3
2023-06-19,8.13,1425.31,1659.25,Cash,1
2023-06-02,20.37,2894.03,2910.03,Mobile Payment,4
2023-06-19,19.87,2834.32,3326.96,Mobile Payment,1
2023-06-17,3.44,862.35,920.82,Mobile Payment,3
2023-06-28,18.75,2699.67,2803.45,Cash,1
2023-06-10,11.06,1777.51,2217.91,Mobile Payment,2
2023-06-16,7.47,1346.24,1578.3,Mobile Payment,2
2023-06-12,6.82,1269.0,1500.34,Cash,4
2023-07-01,21.92,3080.79,3726.37,Cash,2
2023-06-27,14.55,2195.41,2671.03,Credit Card,2
2023-06-10,22.12,3103.84,3318.16,Credit Card,4
2023-06-22,11.42,1820.46,2255.7,Cash,1
2023-06-16,15.11,2262.8,2550.36,Mobile Payment,1
2023-06-21,19.35,2772.43,3035.58,Credit Card,3
2023-06-02,5.15,1068.02,1101.85,Mobile Payment,4
2023-06-23,18.47,2666.13,3210.72,Credit Card,1
2023-06-04,23.88,3316.07,4041.79,Credit Card,4
2023-06-15,5.25,1079.9,1239.12,Mobile Payment,3
2023-06-28,21.43,3021.05,3448.48,Cash,4
2023-06-25,23.61,3283.0,3288.37,Mobile Payment,4
2023-06-16,21.56,3037.15,3163.52,Mobile Payment,3
2023-06-27,18.27,2642.67,3002.0,Mobile Payment,4
2023-06-08,15.64,2327.15,2745.66,Cash,1
2023-07-01,7.09,1301.25,1326.79,Credit Card,2
2023-06-30,24.05,3336.43,3942.74,Cash,3
2023-06-05,7.51,1351.73,1533.79,Cash,4
2023-06-25,15.83,2349.59,2708.97,Mobile Payment,1
2023-06-29,3.32,848.99,1041.5,Credit Card,2
2023-06-05,0.93,561.12,624.84,Mobile Payment,1
2023-06-04,3.06,816.6,967.1,Cash,3
2023-06-20,4.59,1000.21,1201.56,Cash,2
2023-06-23,13.64,2086.28,2570.03,Mobile Payment,1
2023-06-09,24.71,3415.37,3415.39,Cash,1
2023-06-01,6.08,1179.26,1246.48,Mobile Payment,2
2023-06-17,13.54,2074.26,2333.74,Cash,4
