customer_id,session_id,date,transactions,revenue,revenue_sek,pageviews,time_on_site,traffic_source,traffic_medium,device_type,country,city
CLIENT_696574,SESSION_000023,20230712,1,2330.41,44260.14,26,726,google,email,desktop,United States,Stockholm
CLIENT_357812,SESSION_000024,20230706,2,4840.53,41673.41,30,1352,referral,email,desktop,Germany,Göteborg
CLIENT_548106,SESSION_000025,20230715,2,348.35,4233.92,2,134,referral,referral,desktop,France,New York
CLIENT_944666,SESSION_000026,20230720,3,2203.0,28839.14,14,1710,referral,email,tablet,United Kingdom,New York
CLIENT_982083,SESSION_000027,20230731,3,2114.48,22933.71,32,1297,facebook,cpc,desktop,Germany,Stockholm
CLIENT_696180,SESSION_000028,20230731,1,2624.05,45041.2,50,1269,email,referral,desktop,Germany,London
CLIENT_914670,SESSION_000029,20230724,3,2185.73,36076.64,12,1439,facebook,none,desktop,France,Göteborg
CLIENT_460247,SESSION_000030,20230710,1,3796.82,23943.64,43,545,email,organic,mobile,Sweden,Malmö
CLIENT_531837,SESSION_000031,20230729,1,4812.35,1689.38,7,1451,email,organic,mobile,United States,Göteborg
CLIENT_528810,SESSION_000032,20230710,1,3447.51,16410.38,30,883,direct,organic,mobile,Germany,Göteborg
CLIENT_980251,SESSION_000033,20230710,3,2802.6,44074.64,12,78,google,none,desktop,Germany,Stockholm
CLIENT_830814,SESSION_000034,20230724,1,2861.71,45102.45,24,1161,facebook,referral,tablet,United States,Göteborg
CLIENT_573874,SESSION_000035,20230712,1,3418.22,35988.8,3,499,referral,cpc,tablet,France,Malmö
CLIENT_903622,SESSION_000036,20230703,1,4304.38,2029.31,21,681,email,email,desktop,United Kingdom,Stockholm
CLIENT_484205,SESSION_000037,20230704,1,441.66,39835.96,6,771,referral,cpc,tablet,United Kingdom,Stockholm
CLIENT_977146,SESSION_000038,20230704,1,3406.43,28488.51,26,866,referral,cpc,tablet,United States,Stockholm
CLIENT_914120,SESSION_000039,20230706,1,1577.29,21024.52,14,848,email,organic,tablet,United States,Stockholm
CLIENT_882824,SESSION_000040,20230705,3,4428.85,14254.16,12,91,google,cpc,desktop,Sweden,London
CLIENT_742753,SESSION_000041,20230707,1,2439.43,13375.67,32,1416,direct,organic,tablet,United States,Malmö
CLIENT_944372,SESSION_000042,20230711,2,3226.14,12543.36,14,974,google,email,mobile,Germany,Göteborg
CLIENT_766260,SESSION_000043,20230731,1,2913.6,4581.36,50,1674,email,email,desktop,Sweden,Göteborg
CLIENT_449849,SESSION_000044,20230720,1,3737.57,3353.49,37,884,email,none,tablet,Sweden,Malmö
CLIENT_858900,SESSION_000045,20230725,2,2476.92,1253.0,38,832,email,cpc,tablet,Sweden,Malmö
CLIENT_765674,SESSION_000046,20230718,3,2177.61,9508.7,50,571,google,none,tablet,United States,Göteborg
CLIENT_379313,SESSION_000047,20230728,1,4836.4,12082.05,43,536,facebook,email,mobile,United Kingdom,Stockholm
CLIENT_331476,SESSION_000048,20230729,3,2458.48,32454.3,32,1718,facebook,email,tablet,Sweden,Stockholm
CLIENT_927258,SESSION_000049,20230711,3,4796.19,24521.85,11,1464,email,none,tablet,United Kingdom,New York
CLIENT_100550,SESSION_000050,20230711,1,4346.55,38895.32,45,817,google,cpc,tablet,France,Stockholm
CLIENT_836354,SESSION_000051,20230725,2,630.84,19914.61,9,482,referral,email,tablet,Sweden,Göteborg
CLIENT_819100,SESSION_000052,20230720,3,4598.44,31907.38,42,1375,google,none,mobile,United States,Göteborg
CLIENT_799288,SESSION_000053,20230701,2,1132.88,7075.33,28,738,referral,cpc,tablet,Germany,Göteborg
CLIENT_641216,SESSION_000054,20230727,1,3488.42,8293.8,50,1522,direct,none,mobile,France,Malmö
CLIENT_567588,SESSION_000055,20230726,1,3512.38,41823.48,8,245,email,email,desktop,United Kingdom,London
CLIENT_951287,SESSION_000056,20230722,1,3124.25,45637.26,4,1131,email,none,mobile,United States,Stockholm
CLIENT_329568,SESSION_000057,20230708,1,4734.94,45706.44,6,955,facebook,email,desktop,Germany,New York
CLIENT_708051,SESSION_000058,20230718,1,2842.53,25120.5,19,322,email,email,mobile,France,Malmö
CLIENT_657828,SESSION_000059,20230726,3,2964.28,41604.41,7,1056,google,cpc,mobile,Germany,Göteborg
CLIENT_769519,SESSION_000060,20230713,1,3712.55,43178.55,13,316,direct,none,tablet,Germany,Malmö
CLIENT_633202,SESSION_000061,20230708,1,3604.89,29767.71,38,460,referral,referral,tablet,United Kingdom,Malmö
CLIENT_679198,SESSION_000062,20230725,1,4925.63,7094.56,9,561,google,referral,tablet,Germany,New York
CLIENT_632981,SESSION_000063,20230718,2,372.85,16496.92,5,1013,facebook,organic,tablet,United Kingdom,New York
CLIENT_369603,SESSION_000064,20230722,1,1853.45,39639.06,19,557,referral,cpc,desktop,United Kingdom,Stockholm
CLIENT_900823,SESSION_000065,20230707,3,4268.39,49291.04,21,520,facebook,email,tablet,France,New York
CLIENT_586087,SESSION_000066,20230731,1,3247.29,26026.65,2,1341,referral,none,tablet,Germany,Göteborg
CLIENT_368766,SESSION_000067,20230727,1,1337.66,1061.58,39,48,email,none,tablet,United Kingdom,Göteborg
CLIENT_894642,SESSION_000068,20230712,3,708.2,29381.53,33,934,facebook,referral,mobile,Sweden,Stockholm
CLIENT_962855,SESSION_000069,20230717,1,1457.23,12010.48,39,844,direct,referral,mobile,United Kingdom,Stockholm
CLIENT_412418,SESSION_000070,20230702,1,393.27,2198.68,48,620,facebook,email,tablet,France,London
CLIENT_714528,SESSION_000071,20230729,1,1711.31,13008.56,47,1135,direct,none,tablet,United States,Malmö
CLIENT_693021,SESSION_000072,20230728,3,2946.47,15133.13,37,1314,direct,email,mobile,France,Stockholm
CLIENT_472783,SESSION_000073,20230719,3,3520.26,1135.39,18,714,direct,referral,mobile,United Kingdom,New York
CLIENT_806836,SESSION_000074,20230727,1,1018.76,28768.88,22,87,direct,cpc,mobile,Sweden,Malmö
CLIENT_506855,SESSION_000075,20230701,1,2746.01,22244.8,19,142,google,organic,tablet,Germany,Göteborg
CLIENT_130153,SESSION_000076,20230707,1,1266.43,15902.43,17,815,direct,email,mobile,Germany,Stockholm
CLIENT_891146,SESSION_000077,20230718,2,3974.79,43625.07,14,537,facebook,none,desktop,United Kingdom,Göteborg
CLIENT_326460,SESSION_000078,20230723,1,212.81,34238.36,32,1054,email,none,desktop,Sweden,Stockholm
CLIENT_507845,SESSION_000079,20230713,1,1267.1,24025.01,30,587,direct,email,tablet,France,Malmö
CLIENT_448433,SESSION_000080,20230705,2,2283.25,44258.67,50,1117,direct,organic,mobile,Sweden,London
CLIENT_759739,SESSION_000081,20230720,1,1702.54,37962.96,3,610,referral,organic,mobile,Sweden,London
CLIENT_920041,SESSION_000082,20230701,3,3595.96,14908.31,45,1198,facebook,organic,mobile,France,Malmö
CLIENT_848171,SESSION_000083,20230705,1,1457.07,19429.98,18,1649,facebook,none,desktop,United Kingdom,London
CLIENT_507828,SESSION_000084,20230729,1,4184.24,37868.87,40,1783,direct,email,mobile,United Kingdom,London
CLIENT_236555,SESSION_000085,20230708,1,1965.02,46157.46,6,381,facebook,none,desktop,Germany,Malmö
CLIENT_113855,SESSION_000086,20230728,1,2920.32,11060.6,34,231,facebook,organic,mobile,United Kingdom,New York
CLIENT_774251,SESSION_000087,20230725,1,2806.59,47308.08,27,1736,email,organic,tablet,Sweden,Malmö
CLIENT_159053,SESSION_000088,20230723,1,4492.67,13128.25,25,1545,facebook,cpc,tablet,Sweden,Göteborg
CLIENT_340784,SESSION_000089,20230713,1,1864.13,6191.14,14,1219,email,email,mobile,United States,Göteborg
CLIENT_596874,SESSION_000090,20230730,1,1817.41,20352.24,35,1293,direct,referral,tablet,France,London
CLIENT_777433,SESSION_000091,20230715,1,1092.41,45483.94,10,828,direct,organic,mobile,United Kingdom,New York
CLIENT_205079,SESSION_000092,20230720,2,4586.87,29212.29,46,930,facebook,email,tablet,France,London
CLIENT_181316,SESSION_000093,20230703,2,4909.4,14812.74,49,1761,email,cpc,desktop,United Kingdom,Göteborg
CLIENT_805619,SESSION_000094,20230712,3,2371.92,9605.36,44,1528,referral,none,mobile,Sweden,New York
CLIENT_620826,SESSION_000095,20230714,1,1952.27,24947.76,45,1449,direct,cpc,tablet,United Kingdom,New York
CLIENT_830722,SESSION_000096,20230706,1,2073.13,12819.94,46,861,referral,organic,mobile,United States,Göteborg
CLIENT_967798,SESSION_000097,20230724,1,2674.45,37697.09,20,1658,referral,organic,tablet,France,New York
CLIENT_423532,SESSION_000098,20230716,1,4579.78,30920.36,16,1508,referral,organic,tablet,Germany,London
CLIENT_703371,SESSION_000099,20230709,1,4068.84,21634.05,26,1506,referral,organic,desktop,United Kingdom,New York
CLIENT_334566,SESSION_000100,20230723,2,1239.84,42673.37,28,1402,referral,none,mobile,France,New York
CLIENT_986330,SESSION_000101,20230714,1,1633.93,6394.65,46,1314,direct,none,desktop,France,Malmö
CLIENT_485922,SESSION_000102,20230729,2,4034.58,26704.75,19,1691,email,email,tablet,France,New York
CLIENT_576393,SESSION_000103,20230723,3,3612.58,33205.74,35,233,email,email,tablet,United States,New York
CLIENT_702107,SESSION_000104,20230701,1,809.37,37288.01,5,999,google,referral,tablet,France,Göteborg
CLIENT_400838,SESSION_000105,20230730,1,3365.07,29817.6,15,1204,facebook,cpc,desktop,United States,Malmö
CLIENT_642171,SESSION_000106,20230729,2,4798.28,43850.33,46,473,referral,none,tablet,Sweden,Stockholm
CLIENT_520130,SESSION_000107,20230704,1,4737.61,36804.7,11,1261,referral,email,tablet,France,Malmö
CLIENT_950185,SESSION_000108,20230702,3,2141.8,48182.71,36,188,direct,referral,desktop,United States,Göteborg
CLIENT_391101,SESSION_000109,20230709,2,1375.96,18550.1,27,1016,referral,organic,desktop,United Kingdom,London
CLIENT_536190,SESSION_000110,20230730,1,4672.92,25852.12,34,1154,facebook,organic,mobile,France,Stockholm
CLIENT_112559,SESSION_000111,20230715,1,3818.19,36117.97,26,664,direct,email,tablet,United Kingdom,Stockholm
CLIENT_627119,SESSION_000112,20230728,1,3752.76,41613.07,27,1437,google,none,desktop,United Kingdom,Malmö
CLIENT_907113,SESSION_000113,20230715,1,3603.42,18335.96,33,1427,google,referral,desktop,Germany,London
CLIENT_558650,SESSION_000114,20230725,1,2919.02,28099.16,14,1385,referral,cpc,tablet,Sweden,Göteborg
CLIENT_404737,SESSION_000115,20230703,1,4701.6,41110.31,26,356,direct,referral,mobile,United States,Malmö
CLIENT_771821,SESSION_000116,20230714,2,4523.09,49840.66,4,142,direct,referral,mobile,Germany,Malmö
CLIENT_907817,SESSION_000117,20230718,3,585.77,26302.01,36,1404,facebook,none,desktop,Sweden,Göteborg
CLIENT_178463,SESSION_000118,20230722,2,1285.66,49223.72,12,1093,google,organic,desktop,Germany,Stockholm
CLIENT_455215,SESSION_000119,20230710,1,2174.04,38562.52,8,262,facebook,cpc,desktop,Sweden,Göteborg
CLIENT_793977,SESSION_000120,20230731,1,1881.25,36876.58,48,1267,facebook,referral,desktop,Sweden,Stockholm
CLIENT_639861,SESSION_000121,20230702,1,3959.37,42907.95,6,1526,google,cpc,mobile,United States,Göteborg
CLIENT_831168,SESSION_000122,20230720,1,1056.55,15019.91,46,1695,facebook,none,mobile,United States,London
CLIENT_675897,SESSION_000123,20230702,3,2611.11,48708.08,26,1305,facebook,email,desktop,Sweden,Göteborg
CLIENT_808363,SESSION_000124,20230707,1,3165.49,5636.22,11,54,email,referral,tablet,United Kingdom,London
CLIENT_525544,SESSION_000125,20230711,1,1261.56,26277.93,21,720,email,email,tablet,Germany,Göteborg
CLIENT_787499,SESSION_000126,20230730,1,4308.58,35835.91,3,1772,google,none,mobile,United States,London
CLIENT_619447,SESSION_000127,20230723,1,4374.16,29064.22,8,1487,email,email,desktop,France,Malmö
CLIENT_100107,SESSION_000128,20230720,1,3477.08,17731.74,42,1713,google,none,tablet,France,Malmö
CLIENT_642270,SESSION_000129,20230724,1,2675.14,14755.92,3,591,referral,email,tablet,United Kingdom,Malmö
CLIENT_575941,SESSION_000130,20230714,1,1219.68,24945.9,44,1252,google,email,mobile,Germany,New York
CLIENT_460407,SESSION_000131,20230721,1,3663.49,11044.74,45,249,email,cpc,tablet,Sweden,New York
CLIENT_518972,SESSION_000132,20230730,1,2476.64,33022.57,15,1018,referral,email,mobile,United States,Göteborg
CLIENT_184508,SESSION_000133,20230704,1,417.85,10165.1,16,740,referral,email,mobile,France,New York
CLIENT_741027,SESSION_000134,20230718,1,567.08,11687.97,20,306,direct,referral,desktop,United Kingdom,Göteborg
CLIENT_786615,SESSION_000135,20230718,2,2681.0,11630.72,3,1057,referral,referral,mobile,United Kingdom,New York
CLIENT_811986,SESSION_000136,20230723,1,2574.46,12610.94,38,1273,facebook,cpc,desktop,Germany,Stockholm
CLIENT_772123,SESSION_000137,20230711,2,3962.67,35456.42,22,338,direct,organic,tablet,France,Stockholm
CLIENT_775160,SESSION_000138,20230708,1,2135.69,33431.53,33,1443,direct,organic,tablet,United Kingdom,New York
CLIENT_745299,SESSION_000139,20230730,1,310.17,10418.23,6,955,email,referral,desktop,United States,Malmö
CLIENT_500323,SESSION_000140,20230712,1,932.18,16145.87,36,506,email,referral,tablet,France,Göteborg
CLIENT_198530,SESSION_000141,20230719,1,4971.59,9001.28,48,1359,direct,cpc,mobile,United States,New York
CLIENT_228346,SESSION_000142,20230726,3,3551.86,38819.44,10,1245,email,organic,tablet,Germany,Malmö
CLIENT_759336,SESSION_000143,20230731,1,2632.39,24779.98,45,1400,email,email,desktop,United Kingdom,Malmö
CLIENT_271464,SESSION_000144,20230706,1,2831.05,11555.92,4,1327,email,organic,tablet,Germany,Göteborg
CLIENT_602564,SESSION_000145,20230711,3,4141.9,25348.02,19,1070,email,none,tablet,Germany,London
CLIENT_318378,SESSION_000146,20230705,3,4983.45,21958.38,24,570,email,email,tablet,Sweden,London
CLIENT_637579,SESSION_000147,20230711,1,1715.75,8246.24,40,1307,google,organic,desktop,United States,New York
CLIENT_846814,SESSION_000148,20230730,1,3144.44,39795.58,47,1717,google,organic,desktop,Sweden,Malmö
CLIENT_679742,SESSION_000149,20230727,1,1099.97,18968.57,13,131,email,referral,mobile,Sweden,London
CLIENT_711941,SESSION_000150,20230731,1,4323.32,23197.1,24,567,referral,cpc,mobile,Germany,Göteborg
CLIENT_494807,SESSION_000151,20230725,1,2312.1,38220.04,32,901,facebook,none,tablet,United States,New York
CLIENT_806182,SESSION_000152,20230718,2,370.53,15302.57,29,826,referral,none,mobile,United States,Malmö
CLIENT_370191,SESSION_000153,20230721,2,4510.78,30780.21,37,471,direct,referral,desktop,Sweden,London
CLIENT_577986,SESSION_000154,20230730,1,748.15,39785.92,8,373,email,none,tablet,United States,Göteborg
CLIENT_844239,SESSION_000155,20230731,1,3548.26,28630.98,3,1708,direct,email,desktop,Germany,Göteborg
CLIENT_646681,SESSION_000156,20230717,2,2878.68,13182.53,36,1799,referral,cpc,desktop,United States,London
CLIENT_193590,SESSION_000157,20230704,3,980.13,9609.06,44,712,direct,organic,tablet,Sweden,Stockholm
CLIENT_576531,SESSION_000158,20230706,1,1966.37,46158.69,29,1790,email,referral,tablet,France,London
CLIENT_362519,SESSION_000159,20230707,2,3159.57,1344.12,47,1297,email,email,mobile,Sweden,Malmö
CLIENT_457741,SESSION_000160,20230701,3,430.89,14765.83,28,515,facebook,email,desktop,France,New York
CLIENT_814443,SESSION_000161,20230702,1,2916.94,42465.15,44,71,direct,organic,desktop,Germany,Göteborg
CLIENT_320282,SESSION_000162,20230706,1,4801.92,37871.11,35,621,google,referral,mobile,United States,New York
CLIENT_506683,SESSION_000163,20230721,1,307.04,22661.8,7,759,facebook,none,mobile,United States,Malmö
CLIENT_836913,SESSION_000164,20230702,3,2365.44,25545.34,18,1292,facebook,organic,desktop,Sweden,Malmö
CLIENT_848638,SESSION_000165,20230712,1,2134.64,10433.32,8,56,direct,email,mobile,United Kingdom,Göteborg
CLIENT_455065,SESSION_000166,20230730,1,1185.3,41453.7,50,1084,referral,email,mobile,United States,Stockholm
CLIENT_338343,SESSION_000167,20230721,1,3420.12,20589.24,18,955,facebook,none,mobile,United Kingdom,London
CLIENT_906987,SESSION_000168,20230704,1,3022.02,3032.41,44,654,google,referral,mobile,United States,New York
CLIENT_440471,SESSION_000169,20230702,3,3146.92,20320.29,10,1768,referral,referral,tablet,France,Stockholm
CLIENT_485796,SESSION_000170,20230713,1,4192.22,35164.36,25,1468,facebook,email,tablet,United States,New York
CLIENT_481664,SESSION_000171,20230712,1,1026.71,38106.58,6,1080,referral,none,mobile,United Kingdom,Malmö
CLIENT_459466,SESSION_000172,20230724,1,2178.12,12080.9,10,30,facebook,organic,desktop,Germany,Göteborg
CLIENT_539692,SESSION_000173,20230706,1,3529.64,49602.49,12,1235,direct,none,tablet,Germany,New York
CLIENT_841291,SESSION_000174,20230724,2,500.81,39994.54,27,1436,facebook,referral,mobile,Sweden,Stockholm
CLIENT_519686,SESSION_000175,20230704,1,4619.52,29721.76,45,1190,referral,email,mobile,France,Stockholm
CLIENT_619143,SESSION_000176,20230729,2,4329.33,14118.59,33,1154,google,email,tablet,United Kingdom,London
CLIENT_923099,SESSION_000177,20230710,3,2852.43,10636.23,29,1684,email,email,desktop,Germany,London
CLIENT_829139,SESSION_000178,20230701,1,264.15,42819.98,15,1534,facebook,cpc,mobile,Sweden,New York
CLIENT_887383,SESSION_000179,20230726,1,3449.85,1900.17,49,1314,google,cpc,desktop,United States,London
CLIENT_595759,SESSION_000180,20230705,3,4563.19,45257.24,24,396,google,none,tablet,Germany,Stockholm
CLIENT_465814,SESSION_000181,20230722,2,1593.18,12737.51,7,109,referral,referral,desktop,United Kingdom,London
CLIENT_118267,SESSION_000182,20230709,1,4203.61,35285.55,36,1551,google,none,tablet,Germany,New York
CLIENT_221309,SESSION_000183,20230717,1,1597.48,9425.95,13,267,facebook,email,tablet,France,Göteborg
CLIENT_207829,SESSION_000184,20230703,1,3822.45,9403.95,45,159,direct,organic,desktop,Germany,London
CLIENT_236345,SESSION_000185,20230713,1,2597.84,37542.64,6,896,direct,referral,tablet,Sweden,Stockholm
CLIENT_131616,SESSION_000186,20230722,2,3926.5,41215.17,2,424,facebook,none,desktop,Germany,Stockholm
CLIENT_555866,SESSION_000187,20230708,1,3515.65,18685.64,31,385,direct,cpc,tablet,Germany,London
CLIENT_273450,SESSION_000188,20230719,2,2129.02,20614.06,45,674,email,none,tablet,Germany,Stockholm
CLIENT_455470,SESSION_000189,20230702,1,1022.15,1702.94,44,283,google,none,tablet,United States,New York
CLIENT_397848,SESSION_000190,20230705,1,4224.38,21217.7,48,476,google,referral,tablet,France,Göteborg
CLIENT_751851,SESSION_000191,20230704,1,4883.66,5998.61,17,1131,referral,none,tablet,Sweden,New York
CLIENT_626206,SESSION_000192,20230730,1,2809.72,1716.32,50,914,google,cpc,desktop,Sweden,Stockholm
CLIENT_687805,SESSION_000193,20230714,3,3024.52,10312.61,17,851,facebook,organic,tablet,United States,Göteborg
CLIENT_342698,SESSION_000194,20230717,2,3853.83,11227.51,50,1219,facebook,email,mobile,United Kingdom,London
CLIENT_189103,SESSION_000195,20230721,2,1885.14,16050.04,50,989,facebook,organic,desktop,United Kingdom,Göteborg
CLIENT_704716,SESSION_000196,20230724,1,3180.86,14224.36,26,1492,direct,referral,mobile,United Kingdom,Stockholm
CLIENT_122275,SESSION_000197,20230731,3,3914.94,26168.94,8,781,direct,none,tablet,Sweden,Malmö
CLIENT_653635,SESSION_000198,20230730,1,420.88,19749.31,5,1655,email,organic,mobile,France,Stockholm
CLIENT_856433,SESSION_000199,20230705,1,4307.39,11716.55,5,1399,facebook,organic,mobile,Germany,Göteborg
CLIENT_336838,SESSION_000200,20230729,3,3356.96,8486.28,46,716,email,referral,tablet,United Kingdom,Malmö
CLIENT_334834,SESSION_000201,20230705,1,4745.17,8716.51,38,902,email,organic,desktop,Germany,Malmö
CLIENT_971046,SESSION_000202,20230720,3,721.64,33851.85,14,49,facebook,none,desktop,United Kingdom,London
CLIENT_216456,SESSION_000203,20230714,3,3259.41,17962.33,26,1611,google,cpc,mobile,United States,London
CLIENT_656371,SESSION_000204,20230704,1,3173.42,3107.39,48,1420,facebook,organic,mobile,United Kingdom,Göteborg
CLIENT_323604,SESSION_000205,20230716,1,3489.78,34237.14,8,199,email,none,tablet,United Kingdom,Göteborg
CLIENT_131475,SESSION_000206,20230724,2,188.86,3459.21,44,1416,email,organic,mobile,France,Malmö
CLIENT_546275,SESSION_000207,20230729,2,4266.88,27611.22,26,50,direct,email,mobile,United States,Stockholm
CLIENT_112880,SESSION_000208,20230725,1,4768.6,41005.72,41,514,email,referral,desktop,United Kingdom,New York
CLIENT_139597,SESSION_000209,20230727,1,3494.76,18455.88,20,251,referral,none,mobile,Sweden,Malmö
CLIENT_763638,SESSION_000210,20230706,1,4964.63,34352.4,43,420,email,none,desktop,Germany,Göteborg
CLIENT_177136,SESSION_000211,20230716,1,1797.11,15264.9,13,1362,email,email,desktop,Sweden,Göteborg
CLIENT_590178,SESSION_000212,20230728,2,4780.92,20872.25,38,530,google,organic,desktop,Sweden,Malmö
CLIENT_893225,SESSION_000213,20230710,3,4257.86,7511.56,33,594,direct,referral,tablet,Sweden,Stockholm
CLIENT_660228,SESSION_000214,20230713,1,3220.86,40124.67,5,268,facebook,email,desktop,United Kingdom,Göteborg
CLIENT_783428,SESSION_000215,20230704,1,3239.17,31776.45,14,310,email,organic,desktop,Germany,New York
CLIENT_822468,SESSION_000216,20230717,1,1061.87,7114.86,43,948,referral,organic,desktop,Sweden,Göteborg
CLIENT_852155,SESSION_000217,20230731,1,1242.65,5874.97,37,482,referral,none,tablet,France,London
CLIENT_417144,SESSION_000218,20230724,3,4082.29,26584.97,2,631,facebook,cpc,mobile,Germany,London
CLIENT_262945,SESSION_000219,20230728,1,768.21,37772.62,20,1041,direct,referral,tablet,Germany,Stockholm
CLIENT_382774,SESSION_000220,20230710,3,4448.5,21104.7,35,1001,facebook,cpc,tablet,France,Stockholm
CLIENT_891893,SESSION_000221,20230729,3,2777.67,37310.14,49,1390,email,none,mobile,Germany,Göteborg
CLIENT_760738,SESSION_000222,20230706,1,1507.38,19408.0,23,254,referral,cpc,tablet,France,Stockholm
CLIENT_768209,SESSION_000223,20230706,1,1591.94,31214.32,23,238,google,referral,desktop,Germany,London
CLIENT_956601,SESSION_000224,20230702,1,4760.71,47629.75,15,1316,google,organic,desktop,United Kingdom,Malmö
CLIENT_456116,SESSION_000225,20230723,1,2929.6,49327.68,4,602,email,email,tablet,United States,Malmö
CLIENT_135079,SESSION_000226,20230704,2,3399.93,15911.07,28,803,referral,referral,mobile,United Kingdom,Malmö
CLIENT_728003,SESSION_000227,20230703,1,3084.74,24997.02,18,690,facebook,none,desktop,United Kingdom,Stockholm
CLIENT_633920,SESSION_000228,20230701,1,1614.8,16110.74,5,1290,email,email,desktop,United States,Malmö
CLIENT_972613,SESSION_000229,20230727,1,2840.23,12281.68,13,61,facebook,email,tablet,United Kingdom,Stockholm
CLIENT_676617,SESSION_000230,20230709,3,712.74,15094.86,2,1334,google,referral,tablet,United Kingdom,London
CLIENT_764089,SESSION_000231,20230703,1,1331.44,21502.0,40,793,direct,none,desktop,United States,Göteborg
CLIENT_437523,SESSION_000232,20230728,1,3285.53,36048.16,41,715,google,referral,tablet,Sweden,Stockholm
CLIENT_832515,SESSION_000233,20230720,3,509.86,21182.17,46,1496,facebook,none,tablet,United States,New York
CLIENT_653967,SESSION_000234,20230712,1,1558.53,47840.4,36,888,direct,referral,mobile,United States,Göteborg
CLIENT_927755,SESSION_000235,20230713,1,653.58,16275.41,42,207,direct,none,desktop,Sweden,Malmö
CLIENT_828230,SESSION_000236,20230731,1,2514.45,48285.13,6,276,email,cpc,desktop,France,Malmö
CLIENT_659748,SESSION_000237,20230718,2,3933.15,40865.09,32,637,facebook,referral,mobile,Germany,New York
CLIENT_142659,SESSION_000238,20230716,3,3571.84,29981.76,35,874,facebook,none,tablet,United Kingdom,Stockholm
CLIENT_872786,SESSION_000239,20230703,3,4333.27,11740.79,23,1673,direct,organic,desktop,France,London
CLIENT_756698,SESSION_000240,20230713,1,1711.6,36323.66,30,1672,email,cpc,mobile,Germany,New York
CLIENT_497136,SESSION_000241,20230730,2,4632.52,2297.94,45,559,referral,organic,desktop,Germany,New York
CLIENT_939869,SESSION_000242,20230727,1,2600.05,40650.71,20,671,google,none,mobile,United Kingdom,Malmö
CLIENT_321139,SESSION_000243,20230705,3,1935.92,26861.09,20,415,referral,none,desktop,Germany,Malmö
CLIENT_822777,SESSION_000244,20230702,1,996.58,48299.97,16,1721,google,organic,tablet,Sweden,London
CLIENT_984868,SESSION_000245,20230702,3,3366.16,4682.45,34,230,email,none,mobile,France,Stockholm
CLIENT_755353,SESSION_000246,20230718,1,510.93,33274.71,35,470,email,referral,tablet,France,Malmö
CLIENT_499806,SESSION_000247,20230710,1,3602.95,12527.83,24,829,facebook,cpc,mobile,Germany,Stockholm
CLIENT_224702,SESSION_000248,20230731,2,2599.22,49479.11,34,1565,facebook,none,mobile,United Kingdom,Göteborg
