service_date,trip_distance,fare_amount_sek,total_amount_sek,payment_type,passenger_count
2023-06-05,15.46,2305.29,2841.9,Credit Card,3
2023-06-04,23.76,3301.3,3653.53,Cash,2
2023-06-10,18.62,2684.32,3046.23,Credit Card,3
2023-06-10,21.43,3021.31,3302.33,Mobile Payment,3
2023-06-30,15.66,2329.55,2906.11,Mobile Payment,3
2023-06-16,13.96,2124.62,2585.02,Credit Card,3
2023-06-23,14.13,2145.77,2566.1,Cash,4
2023-06-22,17.2,2514.44,2696.99,Cash,2
2023-06-12,21.24,2999.18,3701.59,Credit Card,1
2023-06-13,11.16,1789.56,1990.6,Mobile Payment,1
2023-06-09,14.03,2133.59,2391.01,Credit Card,1
2023-06-02,8.63,1486.14,1845.2,Credit Card,1
2023-06-22,24.33,3369.17,3482.95,Credit Card,1
2023-06-13,17.56,2556.74,3084.24,Cash,3
2023-06-14,14.91,2238.9,2624.69,Mobile Payment,4
2023-06-16,0.58,519.91,644.36,Cash,1
2023-06-29,12.23,1917.56,1997.27,Mobile Payment,3
2023-06-05,10.18,1672.01,2078.71,Credit Card,4
2023-06-09,1.78,663.45,681.57,Mobile Payment,1
2023-06-24,7.79,1384.56,1662.59,Mobile Payment,1
2023-06-18,15.56,2316.73,2558.68,Credit Card,4
2023-06-30,12.66,1968.65,2075.72,Cash,1
2023-06-27,7.85,1392.38,1638.33,Mobile Payment,3
2023-06-14,11.18,1791.61,2035.94,Credit Card,3
2023-06-28,4.32,968.22,1029.55,Credit Card,1
2023-06-28,17.91,2598.87,2906.94,Mobile Payment,4
2023-06-24,20.12,2864.44,3010.9,Cash,2
2023-06-16,23.06,3217.03,3901.79,Mobile Payment,3
2023-06-11,16.53,2433.24,3001.11,Cash,1
2023-06-15,4.38,975.74,979.89,Cash,2
2023-06-25,5.63,1125.56,1374.65,Credit Card,4
2023-06-16,1.82,668.43,781.42,Mobile Payment,2
2023-06-13,2.41,739.0,849.5,Cash,2
2023-06-04,21.46,3025.05,3302.43,Cash,3
2023-06-18,3.03,813.59,920.3,Credit Card,4
2023-07-01,22.39,3136.88,3827.76,Cash,3
2023-06-06,22.06,3097.29,3681.89,Credit Card,1
2023-06-24,12.94,2002.46,2278.9,Cash,4
2023-06-21,6.36,1213.21,1435.57,Credit Card,1
2023-06-28,14.33,2169.97,2507.42,Cash,4
2023-06-27,10.15,1667.77,1766.02,Mobile Payment,3
2023-06-24,5.58,1119.96,1356.37,Mobile Payment,1
2023-06-11,4.41,979.59,1078.45,Mobile Payment,4
2023-06-27,0.66,529.33,595.81,Mobile Payment,1
2023-06-29,15.02,2252.38,2738.38,Cash,2
2023-06-08,21.51,3031.66,3306.45,Cash,3
2023-06-21,16.41,2418.71,2951.77,Credit Card,4
2023-06-18,2.75,780.47,891.44,Credit Card,2
2023-06-15,12.81,1986.92,2046.68,Mobile Payment,2
2023-06-29,5.41,1099.72,1249.27,Cash,3
2023-06-09,5.23,1077.14,1257.58,Credit Card,3
2023-06-15,6.19,1192.74,1392.56,Cash,4
2023-06-30,4.8,1025.88,1045.71,Cash,1
2023-06-15,21.14,2986.84,3307.75,Mobile Payment,4
2023-06-13,23.59,3280.69,3947.56,Credit Card,1
2023-06-02,20.75,2940.05,3358.45,Cash,4
2023-06-24,18.35,2652.01,2839.61,Mobile Payment,3
2023-06-05,12.44,1942.36,2104.78,Credit Card,2
2023-06-11,17.24,2518.51,2959.39,Credit Card,1
2023-06-03,4.41,979.56,1099.8,Cash,2
2023-06-16,4.74,1019.39,1029.0,Credit Card,3
2023-06-15,6.2,1194.52,1329.15,Mobile Payment,2
2023-06-09,7.68,1371.42,1585.9,Cash,3
2023-06-08,21.43,3021.63,3080.22,Mobile Payment,4
2023-06-20,13.06,2016.8,2157.6,Credit Card,2
2023-07-01,22.76,3181.34,3630.76,Credit Card,4
2023-07-01,13.62,2084.28,2352.62,Mobile Payment,3
2023-06-28,16.76,2461.77,2497.92,Cash,2
2023-06-02,16.69,2452.78,2523.65,Mobile Payment,4
2023-06-24,4.79,1024.95,1247.09,Cash,4
2023-06-19,20.2,2874.46,3530.7,Credit Card,4
2023-06-22,19.68,2811.96,3090.43,Mobile Payment,4
2023-06-10,11.34,1810.62,2144.99,Mobile Payment,3
2023-06-06,24.24,3358.82,3990.89,Credit Card,2
2023-06-23,5.94,1162.25,1222.92,Cash,2
2023-06-14,20.01,2851.61,3010.77,Credit Card,3
2023-06-02,4.08,939.99,942.05,Credit Card,1
2023-06-08,14.87,2234.82,2276.72,Cash,2
2023-06-26,24.46,3385.31,3480.56,Credit Card,3
2023-06-03,11.63,1846.02,1861.94,Credit Card,3
2023-06-08,5.92,1160.98,1339.06,Mobile Payment,1
2023-06-18,9.43,1581.03,1608.06,Credit Card,4
2023-06-28,20.17,2870.77,3372.77,Credit Card,1
2023-06-15,7.89,1396.37,1605.66,Cash,2
2023-06-19,13.87,2114.49,2157.35,Mobile Payment,2
2023-06-01,14.55,2196.29,2287.41,Credit Card,3
2023-06-18,14.82,2228.2,2730.36,Cash,4
2023-06-07,19.24,2759.05,2865.74,Cash,1
2023-06-19,6.18,1191.29,1440.31,Mobile Payment,3
2023-06-24,12.09,1900.43,2235.57,Mobile Payment,3
2023-06-08,4.22,956.02,1127.1,Credit Card,1
2023-06-23,20.87,2954.28,2989.41,Mobile Payment,3
2023-06-15,15.44,2303.32,2610.21,Cash,2
2023-06-11,13.3,2045.98,2220.4,Credit Card,3
2023-06-22,15.05,2255.56,2393.11,Mobile Payment,2
2023-06-19,23.09,3221.03,3388.45,Mobile Payment,1
2023-06-06,17.0,2490.0,3101.04,Mobile Payment,3
2023-06-23,10.39,1696.54,1827.07,Mobile Payment,4
2023-06-09,21.72,3056.19,3278.44,Mobile Payment,3
2023-06-12,3.91,918.81,996.8,Credit Card,2
2023-06-13,12.8,1985.61,2413.07,Cash,4
2023-06-06,17.89,2596.27,3108.45,Credit Card,3
2023-06-29,22.1,3102.55,3389.81,Mobile Payment,2
2023-06-09,18.32,2648.86,3182.96,Mobile Payment,4
2023-06-17,13.37,2054.42,2468.3,Cash,1
2023-06-19,17.58,2560.16,3184.34,Cash,1
2023-06-12,2.57,758.92,917.37,Credit Card,1
2023-06-24,0.86,553.07,636.61,Mobile Payment,1
2023-06-10,4.32,967.87,1025.75,Credit Card,2
2023-06-02,24.5,3390.47,4132.77,Credit Card,2
2023-06-11,14.4,2177.59,2216.53,Credit Card,1
2023-06-17,15.94,2362.3,2363.58,Credit Card,4
2023-06-23,24.77,3422.16,3937.76,Cash,1
2023-06-19,4.55,995.41,1177.15,Credit Card,2
2023-06-20,6.77,1261.81,1434.44,Mobile Payment,4
2023-06-09,1.63,645.54,667.95,Credit Card,1
2023-06-13,7.21,1315.28,1514.48,Credit Card,4
2023-06-05,21.26,3000.92,3418.79,Credit Card,1
2023-06-13,0.53,513.49,624.25,Credit Card,3
2023-06-15,3.69,893.29,1103.31,Cash,4
2023-06-16,23.87,3314.78,3506.98,Credit Card,1
2023-06-17,20.24,2879.04,2934.75,Mobile Payment,4
2023-06-10,0.68,532.05,605.42,Mobile Payment,2
2023-06-26,0.88,555.52,615.86,Mobile Payment,4
2023-06-02,4.43,981.03,1048.14,Mobile Payment,1
2023-06-27,2.33,729.51,827.92,Mobile Payment,1
2023-06-04,22.1,3102.54,3193.16,Cash,4
2023-06-28,10.9,1758.28,2171.42,Mobile Payment,1
2023-06-27,8.26,1441.62,1461.02,Cash,3
2023-06-16,8.48,1467.52,1561.44,Mobile Payment,2
2023-06-22,15.53,2313.48,2497.88,Credit Card,2
2023-06-17,8.37,1454.56,1667.2,Cash,3
2023-06-24,6.11,1182.87,1196.19,Credit Card,3
2023-06-01,1.13,585.57,706.6,Cash,1
2023-06-27,10.56,1716.91,2070.06,Mobile Payment,1
2023-06-28,12.28,1923.72,2174.66,Credit Card,4
2023-06-29,20.7,2934.04,3523.29,Cash,2
2023-07-01,17.03,2493.42,2673.1,Credit Card,1
2023-06-02,10.95,1763.76,2127.37,Cash,4
2023-06-11,3.84,911.11,999.7,Credit Card,1
2023-06-18,3.39,856.71,1051.34,Credit Card,1
2023-06-19,12.58,1959.77,2162.01,Credit Card,3
2023-06-21,10.02,1652.17,1776.37,Cash,4
2023-06-05,12.98,2008.01,2164.74,Credit Card,2
2023-06-11,20.34,2890.3,3592.05,Cash,1
2023-06-30,8.98,1527.94,1888.9,Credit Card,2
2023-06-10,9.82,1628.02,1725.87,Mobile Payment,3
2023-06-08,12.5,1950.45,2166.34,Cash,1
2023-06-19,7.41,1338.77,1664.03,Credit Card,3
2023-06-16,16.85,2471.42,3017.22,Cash,4
2023-06-16,0.87,553.85,681.53,Credit Card,4
2023-06-20,19.63,2806.15,3004.62,Cash,3
2023-06-17,23.62,3284.05,3792.02,Credit Card,1
2023-06-17,23.55,3275.85,3463.52,Cash,2
2023-06-25,16.72,2456.75,2694.25,Mobile Payment,4
2023-06-19,16.43,2421.37,3012.49,Cash,3
2023-06-16,14.49,2188.49,2315.3,Mobile Payment,2
2023-06-30,11.1,1781.7,2097.61,Credit Card,4
2023-06-26,9.79,1625.4,1831.72,Credit Card,1
2023-06-27,23.54,3275.08,4084.25,Mobile Payment,4
2023-06-17,6.78,1263.59,1557.32,Cash,4
2023-06-16,21.68,3052.18,3260.69,Cash,1
2023-06-26,0.74,538.47,613.94,Mobile Payment,2
2023-06-05,11.87,1874.51,1962.7,Mobile Payment,4
2023-06-06,6.85,1272.17,1278.11,Cash,1
2023-06-15,1.55,636.21,647.33,Mobile Payment,4
2023-07-01,23.34,3251.27,3931.34,Credit Card,4
2023-06-06,16.7,2453.71,2652.66,Cash,2
2023-06-16,1.94,682.82,813.33,Credit Card,3
2023-06-05,24.08,3340.08,3813.88,Credit Card,3
2023-06-28,2.18,711.24,808.04,Credit Card,4
2023-06-28,19.74,2819.16,3480.3,Cash,3
2023-06-09,8.26,1441.5,1621.72,Cash,4
2023-06-27,1.32,608.91,711.27,Mobile Payment,1
2023-06-13,7.15,1307.98,1345.09,Cash,1
2023-06-01,1.93,681.48,733.99,Mobile Payment,2
2023-06-19,16.89,2477.24,3043.03,Credit Card,3
2023-06-25,13.99,2128.52,2307.48,Cash,1
2023-06-05,22.63,3165.92,3701.31,Cash,4
2023-06-01,9.16,1549.26,1592.92,Mobile Payment,3
2023-06-25,13.35,2051.76,2127.61,Cash,2
2023-06-20,12.05,1895.46,2203.27,Mobile Payment,4
2023-06-17,9.3,1565.82,1770.96,Mobile Payment,1
2023-06-02,21.57,3038.91,3666.38,Cash,2
2023-06-10,22.9,3198.13,3391.05,Credit Card,3
2023-06-03,0.65,528.43,608.52,Cash,1
2023-06-08,16.62,2444.47,2595.43,Mobile Payment,4
2023-06-09,24.02,3332.48,4000.88,Credit Card,2
2023-06-08,16.51,2430.73,2441.28,Cash,3
2023-06-24,4.15,947.69,982.35,Cash,3
2023-06-20,12.91,1999.71,2276.57,Cash,4
2023-06-03,22.97,3206.31,3381.9,Cash,1
2023-06-12,13.91,2119.65,2462.5,Cash,4
2023-06-22,12.52,1952.3,2350.74,Mobile Payment,2
2023-06-08,1.31,607.7,743.52,Mobile Payment,2
2023-06-11,24.98,3448.15,3590.47,Credit Card,3
2023-06-20,15.26,2280.81,2674.1,Cash,3
2023-06-10,21.15,2987.92,3583.69,Mobile Payment,4
2023-06-30,2.64,766.72,839.51,Mobile Payment,2
2023-06-29,20.89,2956.27,3474.99,Cash,2
2023-06-14,19.31,2767.4,3405.76,Cash,3
2023-06-08,2.51,750.87,892.81,Credit Card,3
2023-06-05,3.38,856.14,1064.82,Cash,3
2023-06-28,14.91,2239.5,2466.79,Cash,2
2023-06-05,12.55,1956.51,1981.9,Mobile Payment,4
2023-06-08,7.01,1291.18,1552.01,Cash,3
2023-06-10,14.43,2181.54,2392.25,Mobile Payment,1
2023-06-14,24.32,3368.35,4002.61,Credit Card,2
2023-06-01,9.24,1558.46,1818.59,Mobile Payment,3
2023-06-12,15.03,2253.53,2605.47,Cash,3
2023-06-06,24.57,3398.67,3634.74,Credit Card,1
2023-06-17,2.37,733.95,811.06,Credit Card,2
2023-06-16,6.16,1188.97,1254.07,Cash,3
2023-06-11,21.44,3022.41,3734.31,Credit Card,1
2023-06-25,5.58,1119.7,1162.75,Cash,1
2023-06-11,6.59,1240.7,1548.75,Cash,2
2023-06-06,14.69,2212.56,2731.94,Credit Card,1
2023-06-20,9.29,1564.95,1824.55,Mobile Payment,4
2023-06-05,21.13,2985.95,3391.89,Mobile Payment,4
2023-06-19,7.89,1396.26,1641.25,Credit Card,2
2023-06-26,2.48,747.24,812.47,Mobile Payment,2
2023-06-15,15.25,2279.5,2624.51,Mobile Payment,4
2023-06-27,16.62,2444.77,2853.68,Credit Card,2
2023-06-17,23.5,3270.41,3927.0,Mobile Payment,4
2023-06-12,17.75,2579.5,2976.49,Cash,1
2023-06-24,9.52,1592.56,1715.44,Cash,2
2023-06-05,3.66,889.3,981.92,Credit Card,2
2023-06-22,13.91,2118.98,2158.47,Mobile Payment,3
2023-06-30,15.16,2269.51,2340.91,Credit Card,2
2023-07-01,11.18,1791.47,1929.67,Cash,3
2023-06-17,15.91,2359.75,2568.86,Credit Card,1
2023-06-17,12.84,1991.05,2065.11,Cash,2
2023-06-05,21.36,3012.78,3193.79,Credit Card,3
2023-06-14,1.84,671.17,703.27,Credit Card,1
2023-06-16,2.96,805.29,832.34,Mobile Payment,2
2023-06-05,9.78,1624.03,1929.26,Mobile Payment,1
2023-06-29,19.08,2739.72,3217.97,Cash,4
2023-06-13,12.8,1985.97,2435.63,Cash,3
2023-06-25,8.09,1421.04,1455.35,Cash,4
2023-06-08,5.48,1107.55,1129.91,Cash,4
2023-06-24,13.26,2041.46,2392.5,Mobile Payment,3
2023-06-14,9.36,1573.49,1665.57,Credit Card,3
2023-06-15,4.8,1026.46,1183.16,Credit Card,2
2023-07-01,24.01,3331.59,3697.31,Cash,2
2023-06-22,6.72,1255.95,1338.38,Credit Card,4
2023-06-18,0.67,529.94,659.62,Cash,1
2023-06-20,17.02,2491.82,2740.3,Credit Card,1
2023-06-03,23.97,3325.83,3571.61,Mobile Payment,2
2023-06-15,0.79,545.39,612.53,Cash,3
2023-06-12,0.99,568.61,669.15,Credit Card,1
2023-06-11,17.46,2544.82,2964.39,Mobile Payment,1
2023-06-14,6.01,1171.31,1280.37,Cash,2
2023-06-27,2.14,707.02,782.82,Mobile Payment,1
2023-06-26,10.32,1688.66,1741.23,Mobile Payment,2
2023-06-19,22.9,3198.02,3830.42,Mobile Payment,3
2023-06-15,4.9,1037.86,1226.18,Credit Card,3
2023-06-23,3.86,912.73,1028.78,Mobile Payment,2
2023-06-04,15.67,2330.44,2619.09,Cash,3
2023-06-24,14.08,2140.18,2167.36,Cash,1
2023-06-13,21.95,3084.6,3223.9,Credit Card,1
2023-06-20,5.88,1155.96,1276.0,Credit Card,3
2023-06-26,20.31,2887.04,3562.45,Credit Card,1
2023-06-21,1.48,627.75,654.54,Credit Card,3
2023-06-12,22.62,3164.41,3778.5,Mobile Payment,1
2023-06-13,24.62,3404.08,3479.12,Cash,3
2023-06-22,13.15,2028.26,2462.38,Mobile Payment,3
2023-06-13,21.69,3052.9,3703.05,Mobile Payment,2
2023-06-17,19.49,2789.18,2818.06,Mobile Payment,3
2023-06-10,14.64,2207.36,2234.89,Cash,3
2023-06-30,7.46,1345.57,1655.05,Mobile Payment,3
2023-06-07,12.1,1902.31,2047.95,Mobile Payment,1
2023-06-16,8.02,1412.19,1701.16,Credit Card,2
2023-06-19,7.43,1341.81,1641.35,Mobile Payment,2
2023-06-12,10.46,1705.3,2125.74,Cash,3
2023-06-06,9.58,1599.34,1934.31,Credit Card,2
2023-06-10,18.38,2655.36,2936.67,Mobile Payment,4
2023-06-25,23.58,3279.22,3540.86,Credit Card,3
2023-06-16,8.32,1448.67,1747.27,Credit Card,2
2023-06-25,23.25,3240.12,3989.77,Mobile Payment,2
2023-06-14,13.34,2050.23,2551.28,Credit Card,4
2023-06-02,21.35,3012.11,3067.87,Cash,2
2023-06-14,24.27,3362.06,3780.24,Credit Card,2
2023-06-14,6.82,1268.98,1368.29,Mobile Payment,1
2023-06-01,8.64,1486.26,1833.63,Mobile Payment,1
2023-06-20,21.12,2984.75,3198.92,Cash,2
2023-06-18,8.98,1527.53,1573.95,Mobile Payment,3
2023-06-07,0.59,521.38,537.31,Credit Card,3
2023-07-01,3.41,858.9,989.27,Credit Card,2
2023-06-07,15.21,2275.28,2511.81,Cash,3
2023-06-16,7.59,1361.26,1652.31,Credit Card,2
2023-06-07,10.34,1690.98,1910.5,Credit Card,3
2023-06-26,10.61,1723.79,1728.03,Cash,4
2023-06-05,3.1,821.51,987.61,Credit Card,1
2023-06-27,14.15,2148.55,2232.97,Cash,4
2023-06-17,7.41,1339.1,1555.39,Mobile Payment,4
2023-06-10,6.01,1171.42,1385.95,Mobile Payment,4
2023-06-02,12.56,1957.2,2148.29,Cash,4
2023-06-20,6.24,1198.37,1334.83,Credit Card,3
2023-06-05,2.78,783.85,882.64,Cash,3
2023-06-08,10.19,1672.51,2028.84,Cash,2
2023-06-11,15.41,2299.2,2624.91,Mobile Payment,3
2023-06-12,3.38,856.09,953.53,Cash,4
2023-06-20,24.21,3354.71,3959.36,Cash,4
2023-06-08,10.64,1726.52,2030.28,Credit Card,1
2023-06-08,21.63,3045.88,3488.5,Credit Card,3
2023-06-20,10.13,1665.07,2053.57,Cash,1
2023-06-26,15.31,2287.22,2828.7,Credit Card,2
2023-06-19,22.27,3122.67,3658.04,Credit Card,4
2023-06-15,23.77,3301.98,3351.89,Mobile Payment,1
2023-06-26,21.44,3022.33,3739.49,Credit Card,1
2023-06-06,0.97,566.58,569.12,Cash,4
2023-06-21,24.69,3412.25,3419.9,Mobile Payment,1
2023-06-18,21.03,2973.3,3651.22,Cash,4
2023-06-21,13.54,2074.22,2404.79,Cash,3
2023-06-23,9.05,1535.54,1917.67,Mobile Payment,3
2023-06-19,22.32,3127.84,3579.82,Mobile Payment,2
2023-06-29,6.78,1263.98,1430.27,Mobile Payment,1
2023-06-10,6.24,1198.59,1460.32,Credit Card,3
2023-06-27,2.26,721.14,858.37,Mobile Payment,2
2023-06-01,13.78,2103.58,2294.31,Credit Card,2
2023-06-03,21.43,3021.01,3059.12,Cash,1
2023-06-30,18.88,2715.94,2733.78,Credit Card,1
2023-06-03,8.26,1441.75,1755.32,Mobile Payment,1
2023-06-15,23.66,3289.7,3732.23,Mobile Payment,4
2023-06-19,17.43,2542.07,2909.05,Cash,3
2023-06-23,22.11,3103.22,3306.55,Cash,2
2023-06-16,19.0,2729.7,3371.85,Credit Card,3
2023-06-25,1.91,679.39,722.94,Cash,3
2023-06-06,11.25,1800.04,1838.91,Credit Card,4
2023-06-15,10.95,1763.85,2034.93,Credit Card,4
2023-06-12,24.13,3345.93,3708.18,Mobile Payment,1
2023-06-09,0.72,536.36,557.22,Cash,4
2023-06-26,16.53,2434.09,2673.32,Credit Card,4
2023-06-21,3.56,877.38,933.3,Mobile Payment,3
2023-06-27,4.39,976.78,1102.99,Cash,4
2023-07-01,10.48,1707.54,1933.46,Mobile Payment,3
2023-06-21,9.79,1625.35,1669.33,Cash,4
2023-06-26,5.63,1126.0,1188.12,Credit Card,4
2023-06-19,21.38,3015.23,3349.11,Credit Card,3
2023-06-19,13.2,2034.09,2120.92,Credit Card,1
2023-06-12,20.63,2925.81,3594.02,Cash,4
2023-06-22,22.56,3157.3,3164.38,Credit Card,3
2023-06-24,18.93,2721.85,3197.86,Cash,2
2023-06-30,17.24,2518.88,2632.32,Cash,2
2023-06-10,15.14,2267.37,2634.19,Cash,1
2023-06-11,6.96,1284.62,1568.1,Credit Card,1
2023-06-22,1.5,630.01,687.03,Mobile Payment,3
2023-06-15,10.02,1652.63,1815.85,Credit Card,3
2023-06-07,1.96,685.42,715.81,Mobile Payment,1
2023-06-21,11.45,1823.47,2127.17,Mobile Payment,4
2023-06-18,8.31,1447.63,1722.85,Cash,1
2023-06-27,18.72,2696.49,2770.2,Mobile Payment,4
2023-06-02,17.22,2516.08,2736.84,Mobile Payment,2
2023-06-24,5.85,1151.94,1230.0,Mobile Payment,4
2023-06-22,14.73,2217.6,2641.13,Mobile Payment,1
2023-06-16,15.62,2324.39,2764.15,Credit Card,4
2023-06-20,18.08,2619.01,2817.91,Cash,3
2023-06-22,24.56,3397.47,3792.06,Mobile Payment,1
2023-06-14,8.35,1452.59,1462.93,Credit Card,2
2023-06-26,11.32,1808.26,1942.88,Credit Card,4
2023-06-01,11.66,1849.33,2107.62,Credit Card,2
2023-06-21,24.88,3435.75,3464.9,Mobile Payment,4
2023-06-17,14.98,2247.55,2440.37,Mobile Payment,2
2023-06-23,21.17,2990.73,3630.09,Mobile Payment,1
2023-06-01,11.01,1771.62,1964.27,Credit Card,4
2023-06-06,15.27,2282.21,2763.29,Cash,1
2023-06-17,7.65,1368.09,1519.17,Credit Card,2
2023-06-26,14.67,2209.86,2564.63,Credit Card,1
2023-06-01,7.19,1313.19,1547.84,Mobile Payment,2
2023-06-09,17.93,2601.15,3103.57,Mobile Payment,2
2023-06-27,16.3,2406.11,2580.52,Cash,2
2023-06-26,17.9,2598.54,3026.22,Credit Card,1
2023-06-18,21.91,3079.61,3825.33,Credit Card,4
2023-06-08,14.79,2224.53,2295.77,Cash,4
2023-06-03,18.7,2693.72,3059.71,Credit Card,2
2023-07-01,21.46,3024.67,3240.06,Cash,3
2023-06-01,1.07,577.97,712.75,Cash,1
2023-06-27,18.46,2664.73,2910.61,Cash,1
2023-06-16,11.95,1884.39,2055.29,Cash,2
2023-06-09,21.47,3026.59,3266.16,Cash,3
2023-06-15,23.73,3297.17,3980.3,Cash,3
2023-06-12,17.17,2510.84,3066.16,Credit Card,3
2023-06-28,13.94,2123.03,2133.47,Cash,1
2023-06-29,5.08,1059.81,1137.63,Credit Card,2
2023-06-11,16.18,2391.23,2558.32,Mobile Payment,4
2023-06-18,6.53,1234.04,1314.77,Cash,2
2023-06-06,24.82,3428.33,3586.94,Credit Card,4
2023-06-22,21.41,3018.62,3244.16,Credit Card,1
2023-06-29,17.97,2606.81,2896.61,Credit Card,1
2023-06-11,10.06,1657.43,2046.92,Credit Card,3
2023-06-07,14.11,2142.64,2285.8,Credit Card,3
2023-06-22,13.76,2100.69,2442.08,Cash,4
2023-06-25,5.04,1054.54,1207.2,Mobile Payment,4
2023-06-08,13.53,2074.12,2466.66,Mobile Payment,2
2023-06-08,13.73,2097.12,2180.93,Credit Card,1
2023-06-16,22.61,3163.66,3422.68,Cash,2
2023-06-14,23.92,3320.66,3902.59,Credit Card,3
2023-06-10,20.12,2864.46,3430.27,Credit Card,1
2023-06-25,9.1,1541.72,1691.63,Credit Card,4
2023-06-25,19.48,2787.67,3199.35,Cash,4
2023-06-15,3.04,814.45,839.52,Credit Card,1
2023-06-11,21.56,3037.31,3705.06,Mobile Payment,1
2023-06-03,2.51,751.53,852.95,Credit Card,4
